ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part
"1"	"0.1u"	"C4,C3"	"C0805"	"2"	"CGA4J2X7R2A104K125AA"	"TDK"	"Digi-Key"	"445-5827-1-ND"
"2"	"2.2u"	"C2"	"C0805"	"1"	"UMK212BB7225KG-T"	"Taiyo Yuden"	"Digi-Key"	"587-3169-1-ND"
"3"	"22n"	"C1"	"C0805"	"1"	"CL21B223KBANFNC"	"Samsung Electro-Mechanics"	"Digi-Key"	"1276-2488-1-ND"
"4"	"1u"	"C5,C6"	"C0805"	"2"	"CL21B105KBFNNNG"	"Samsung Electro-Mechanics"	"Digi-Key"	"1276-6470-1-ND"
"5"	"10n"	"C7"	"C0805"	"1"	"CL21B103KBANNNC"	"Samsung Electro-Mechanics"	"Digi-Key"	"1276-1015-1-ND"
"6"	"SMAJ17CAQ-13-F"	"D2,D3"	"DIODE-SMA_2PIN-L4.60-W2.92-PITCH4.00-B"	"2"	"SMAJ17CAQ-13-F"	"DIODES"	"Digi-Key"	"SMAJ17CAQ-13-FDICT-ND"
"7"	"SBR1U150SA-13"	"D1"	"DIODE-SMA_2PIN-L4.60-W2.92-PITCH4.00-B"	"1"	"SBR1U150SA-13"	"DIODES"	"Digi-Key"	"SBR1U150SA-13DICT-ND"
"8"	"MCP1804T-A002I/OT"	"U1"	"SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL"	"1"	"MCP1804T-A002I/OT"	"MICROCHIP"	"Digi-Key"	"MCP1804T-A002I/OTCT-ND"
"9"	"10k"	"R3"	"R0805"	"1"	"RC0805FR-0710KL"	"Yageo"	"Digi-Key"	"311-10.0KCRCT-ND"
"10"	"20k"	"R1"	"R0805"	"1"	"RC0805FR-079K1L"	"Yageo"	"Digi-Key"	"311-9.10KCRCT-ND"
"11"	"56k"	"R4,R12,R13"	"R0805"	"3"	"CRCW080556K0JNEA"	"Vishay Dale"	"Digi-Key"	"541-56KACT-ND"
"12"	"100k"	"R6"	"R0805"	"1"	"RC0805FR-07100KL"	"Yageo"	"Digi-Key"	"311-100KCRCT-ND"
"13"	"0"	"R5"	"R0805"	"1"	"RC0805JR-070RL"	"Yageo"	"Digi-Key"	"311-0.0ARCT-ND"
"14"	"39k"	"R7"	"R0805"	"1"	"RC0805FR-0739KL"	"Yageo"	"Digi-Key"	"311-39.0KCRCT-ND"
"15"	"HDR-M-2.54_1x3"	"J1"	"HDR-M-2.54_1X3"	"1"	""	""	""	""
"16"	"BZT52C2V0T-7"	"D4"	"SOD-523_L1.2-W0.8-LS1.6-RD"	"1"	"BZT52C2V0T-7"	"Diodes Incorporated"	"Digi-Key"	"BZT52C2V0T-7DICT-ND"
"17"	"20k"	"R2"	"RES-ADJ_3386P"	"1"	"3386P-203LF-ND"	"Bourns Inc."	"Digi-Key"	"3386P-203LF-ND"
"18"	"JS202011SCQN"	"SW1"	"SW-SMD_JS202011SCQN"	"1"	"JS202011SCQN"	"C&K"	"Digi-Key"	"401-2002-1-ND"
"19"	"LM2907MX-8/NOPB"	"U2"	"SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL"	"1"	"LM2907MX-8/NOPB"	"TI"	"Digi-Key"	"LM2907MX-8/NOPBCT-ND"
